# Wanna drop some funky stats & graphs? Go to 'www.stratoflights.com/auswertung' 

LOGGER_INFO_BEGIN
{logger_info:{id:3,id_str:'STRATO4 Version 1.0',serial:'',hw_platform:{name:'stratologx-stm32l0',mcu:'ST STM32L072RZT6',vs_major:'1',vs_minor:'0'},sw_version:{major:'1',minor:'0',patch:'0',bt_time:'14:55:14',bt_date:'Jul 16 2021'}}}
LOGGER_INFO_END
CSV_DATA_SECTION_BEGIN
Uptime [s];GNSS: PPS Timestamp [s];GNSS: UTC date time (ISO 8601);GNSS: Fix type (0=no fix, others=fix);GNSS: Latitude [degrees];GNSS: Longitude [degrees];GNSS: Positional dilution of precision;GNSS: Altitude [m] (above Mean Sea Level);GNSS: Ground speed [km/h];GNSS: Satellites in view;GNSS: Altitude [m] (above ellipsoid);Temperature: Board [degC];Temperature: Ext LM75 1 [degC];Temperature: Ext MS8607 1 [degC];Pressure: Ext MS8607 [hPa];Humidity: Ext MS8607 [%];Light Intensity: Clear [lx];Light Intensity: Red [lx];Light Intensity: Green [lx];Light Intensity: Blue [lx];Light Intensity: Infrared [lx];Light Intensity: UVA index [];Volt: Supply Voltage [V];Volt: 3.3V board voltage [V];Volt: Vin1 voltage [V];Volt: Vin2 voltage [V];Volt: Vin3 voltage [V];IO: In 1 State;IO: In 1 Timestamp [s];IO: In 2 State;IO: In 2 Timestamp [s];IO: Out 1 State;IO: Out 1 Timestamp [s];IO: Out 2 State;IO: Out 2 Timestamp [s]
8.907;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.4;16.2;16.2;1012.2;67.25;9451;20351;595;5510;23399;0.10;8.73;3.39;0.530;0.493;0.690;1;0.000;1;0.000;0;0.002;0;0.002
10.907;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.4;16.2;16.2;1012.1;67.30;10827;22514;1283;4723;2657;0.10;8.72;3.39;0.527;0.495;0.698;1;0.000;1;0.000;0;0.002;0;0.002
12.907;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.4;16.2;16.1;1012.2;67.16;5715;20449;24974;3544;23792;0.10;8.72;3.39;0.524;0.497;0.709;1;0.000;1;0.000;0;0.002;0;0.002
14.907;0.000;0000-00-00T00:00:00.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.4;16.2;16.1;1012.2;67.24;800;14944;13669;16814;21335;0.10;8.72;3.39;0.521;0.498;0.715;1;0.000;1;0.000;0;0.002;0;0.002
16.907;0.000;2021-08-25T07:10:46.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.6;16.1;16.1;1012.2;67.39;18200;21924;3839;8164;23497;0.10;8.71;3.39;0.518;0.501;0.720;1;0.000;1;0.000;0;0.002;0;0.002
18.907;0.000;2021-08-25T07:10:48.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.6;16.1;16.1;1012.1;67.45;19478;23005;5412;7574;593;0.10;8.72;3.39;0.517;0.502;0.727;1;0.000;1;0.000;0;0.002;0;0.002
20.907;0.000;2021-08-25T07:10:50.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.4;16.1;16.1;1012.2;67.49;6894;13470;8655;7672;14060;0.10;8.70;3.38;0.511;0.503;0.731;1;0.000;1;0.000;0;0.002;0;0.002
22.907;0.000;2021-08-25T07:10:52.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.7;16.2;16.1;1012.2;67.52;1094;2656;11997;12489;15633;0.09;8.71;3.39;0.508;0.505;0.737;1;0.000;1;0.000;0;0.002;0;0.002
24.907;0.000;2021-08-25T07:10:54.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.6;16.1;16.1;1012.1;67.46;1291;6589;20648;23204;20056;0.09;8.72;3.39;0.507;0.504;0.743;1;0.000;1;0.000;0;0.002;0;0.002
26.907;0.000;2021-08-25T07:10:56.0Z;0;Inval.;Inval.;Inval.;Inval.;Inval.;0;Inval.;18.6;16.1;16.1;1012.1;67.59;6895;17500;16814;18584;12192;0.10;8.72;3.39;0.504;0.507;0.746;1;0.000;1;0.000;0;0.002;0;0.002
